Back,ย้อนกลับ
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","ไฟล์ '%1' ที่คุณอัปโหลดมีขนาดใหญ่กว่า %2 เมกะไบต์ที่เซิร์ฟเวอร์ของเราอนุญาต"
"The file '%1' is empty. Please choose another one","แฟ้ม '%1' ว่างเปล่า โปรดเลือกอันอื่น"
"The file '%1' is invalid. Please choose another one","ไฟล์ '%1' ไม่ถูกต้อง โปรดเลือกอันอื่น"
"File '%1' is not an image.","ไฟล์ '%1' ไม่ใช่รูป"
"Validation failed. Required options were not filled or the file was not uploaded.","การตรวจสอบความถูกต้องล้มเหลว ไม่ได้กรอกตัวเลือกที่จําเป็นหรือไม่ได้อัปโหลดไฟล์"
"The file you uploaded is larger than %1 Megabytes allowed by server","ไฟล์ที่คุณอัปโหลดมีขนาดใหญ่กว่า %1 เมกะไบต์ที่เซิร์ฟเวอร์อนุญาต"
"Option required.",จําเป็นต้องใช้ตัวเลือก
"The file is empty. Please choose another one","ไฟล์ว่างเปล่า โปรดเลือกอันอื่น"
"Some of the selected item options are not currently available.",ตัวเลือกรายการที่เลือกบางรายการยังไม่พร้อมใช้งานในขณะนี้
"Could not save the usageCustomer: %1","ไม่สามารถบันทึกการใช้งานได้ลูกค้า: %1"
"UsageCustomer with id ""%1"" does not exist.","ไม่มีการใช้งานลูกค้าที่มีรหัส ""%1"""
"Could not delete the UsageCustomer: %1","ไม่สามารถลบ UsageCustomer: %1"
"Could not save the usage: %1","ไม่สามารถบันทึกการใช้งาน: %1"
"Usage with id ""%1"" does not exist.","ไม่มีการใช้งานที่มีรหัส ""%1"""
"Could not delete the Usage: %1","ไม่สามารถลบการใช้งาน: %1"
"Unable to attach licenses to customer %s","ไม่สามารถแนบใบอนุญาตกับลูกค้า %s"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","คุณไม่สามารถเพิ่มรายการนี้ลงในรถเข็นของคุณได้เนื่องจากสิ่งนี้
                                สิทธิ์การใช้งานแบบกําหนดเองสามารถใช้ได้ %1 ครั้งเท่านั้น"
"Max Usage",การใช้งานสูงสุด
"Usage Options",ตัวเลือกการใช้งาน
Preview.,"ดูตัวอย่าง "
"Usage options provide more details about how an image will be used.",ตัวเลือกการใช้งานให้รายละเอียดเพิ่มเติมเกี่ยวกับวิธีการใช้รูปภาพ
"Add Option",เพิ่มตัวเลือก
"New Option",ตัวเลือกใหม่
"Option Title",ชื่อตัวเลือก
"Help Text",ข้อความความช่วยเหลือ
"Add Value",เพิ่มมูลค่า
Title,ชื่อเรื่อง
"Option Type",ประเภทตัวเลือก
"-- Please select --","-- กรุณาเลือก --"
Required,ต้องระบุ
Price,ราคา
"Price Type",ประเภทราคา
"Image Size",ขนาดภาพ
Edit,แก้ไข
"Only Custom Usages are supported",รองรับการใช้งานแบบกําหนดเองเท่านั้น
"We offer important volume <b>licensing discounts</b>.","เราเสนอ<b>ส่วนลด Volume Licensing</b> ที่สําคัญ"
"Have questions? Call %1 and ask for custom quote.","มีคําถาม? โทร %1 และขอใบเสนอราคาที่กําหนดเอง"
"We will work with your budget.",เราจะทํางานกับงบประมาณของคุณ
Availability,ความสะดวก
"In stock",มีสินค้า
"Out of stock",สินค้าหมด
Change,เปลี่ยน
"Compatible file extensions to upload",นามสกุลไฟล์ที่เข้ากันได้เพื่ออัปโหลด
"Maximum image width",ความกว้างของภาพสูงสุด
"Maximum image height",ความสูงของภาพสูงสุด
"less info",ข้อมูลน้อยลง
"more info",ข้อมูลเพิ่มเติม
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","ภาพลิขสิทธิ์เป็นประเภทของ ""การเช่า"" ของภาพสําหรับการใช้งานเฉพาะ ตัวอย่าง เช่น การ ให้ สิทธิ์ ใช้ ภาพ สําหรับ ปก หนังสือ, ภาพประกอบ สําหรับ บทความ นิตยสาร, หรือ การ ใช้ ภาพ ใน ใบ ปลิว ประกาศ."
"License Image",ภาพใบอนุญาต
"Download - price based on use.","ดาวน์โหลด - ราคาขึ้นอยู่กับการใช้งาน"
Close,ปิด
"License Pricing Calculator",เครื่องคํานวณราคาใบอนุญาต
"Select options from the drop down menu to calculate a price to use this image.",เลือกตัวเลือกจากเมนูแบบเลื่อนลงเพื่อคํานวณราคาเพื่อใช้รูปภาพนี้
"Choose Category",เลือกหมวดหมู่
"Choose a category to see the specific usages available.",เลือกหมวดหมู่เพื่อดูการใช้งานเฉพาะที่มี
"Previous Usage",การใช้งานก่อนหน้า
"Choose a previous calculation from your order history.",เลือกการคํานวณก่อนหน้านี้จากประวัติการสั่งซื้อของคุณ
"Specific Usage",การใช้งานเฉพาะ
"Choose the usage which best describes how you intend to use the image.",เลือกการใช้งานที่อธิบายได้ดีที่สุดว่าคุณตั้งใจจะใช้รูปภาพอย่างไร
"Go to <a href=""%1"">My Downloadable Products</a>","ไปที่ <a href=""%1"">ผลิตภัณฑ์ที่ดาวน์โหลดได้ของฉัน</a>"
"Incl. Tax",รวมภาษี
"Total Incl. Tax",รวมภาษี
"Excl. Tax",ไม่รวมภาษี
Total,ทั้งหมด
"Downloadable Products",ผลิตภัณฑ์ที่ดาวน์โหลดได้
"Order #","สั่ง #"
Date,วันที่
Status,สถานะ
"Remaining Downloads",ดาวน์โหลดที่เหลือ
"View Order",ดูคําสั่งซื้อ
"Start Download",เริ่มดาวน์โหลด
"You have not purchased any downloadable products yet.",คุณยังไม่ได้ซื้อผลิตภัณฑ์ที่ดาวน์โหลดได้
SKU,รหัสสินค้า
download,ดาวน์โหลด
"Gift Message",ข้อความของขวัญ
From:,จาก:
To:,ถึง:
Message:,ข้อความ:
"Product Name",ชื่อผลิตภัณฑ์
Qty,ปริมาณ
Subtotal,ผลรวมย่อย
"Discount Amount",จํานวนส่วนลด
"Row Total",ผลรวมแถว
"Qty Invoiced",จํานวนออกใบแจ้งหนี้
Ordered,สั่ง
Shipped,"จัด ส่ง"
Canceled,"ยก เลิก"
Refunded,คืนเงิน
"Add Bulk Products",เพิ่มสินค้าจํานวนมาก
Calculator,เครื่องคิดเลข
"DevStone Extensions","ส่วนขยาย DevStone"
"Usage Calculator",เครื่องคํานวณการใช้งาน
General,ทั่วไป
"Custom Category",หมวดหมู่ที่กําหนดเอง
"select the custom category",เลือกหมวดหมู่ที่กําหนดเอง
"This field is going to be used for Custom License",ฟิลด์นี้จะใช้สําหรับสิทธิ์การใช้งานแบบกําหนดเอง
"Category Form",แบบฟอร์มหมวดหมู่
"Main Information",ข้อมูลหลัก
"Add New Category",เพิ่มหมวดหมู่ใหม่
"Delete items",ลบรายการ
"Are you sure you wan't to delete selected items?",คุณแน่ใจหรือไม่ว่าไม่ต้องการลบรายการที่เลือก?
Terms,เงื่อนไข
"Size Form",แบบฟอร์มขนาด
Active,กระปรี้กระเปร่า
Inactive,เกียจคร้าน
"Add New Size",เพิ่มขนาดใหม่
Code,รหัส
"Max Width",ความกว้างสูงสุด
"Max Height",ความสูงสูงสุด
"Usage Form",แบบฟอร์มการใช้งาน
"Can be free",สามารถฟรี
No,ไม่ใช่
Yes,ใช่
"Add future customer email",เพิ่มอีเมลของลูกค้าในอนาคต
"Add Email",เพิ่มอีเมล
"Add New Usage",เพิ่มการใช้งานใหม่
