Back,Назад
"Some of the selected item options are not currently available.","Некоторые из выбранных вариантов элементов в настоящее время недоступны."
"Could not save the usageCustomer: %1","Не удалось сохранить использованиеКлиент: %1"
"UsageCustomer with id ""%1"" does not exist.","ИспользованиеКлиент с идентификатором ""%1"" не существует."
"Could not delete the UsageCustomer: %1","Не удалось удалить UsageCustomer: %1"
"Could not save the usage: %1","Не удалось сохранить использование: %1"
"Usage with id ""%1"" does not exist.","Использование с идентификатором ""%1"" не существует."
"Could not delete the Usage: %1","Не удалось удалить Использование: %1"
"Unable to attach licenses to customer %s","Невозможно прикрепить лицензии к клиенту %s"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Вы не можете добавить этот товар в корзину, потому что эта
                                пользовательская лицензия может быть использована только %1 раз(ы)"
"Max Usage","Максимальное использование"
"Usage Options","Варианты использования"
Preview.,Предпросмотр.
"Usage options provide more details about how an image will be used.","Параметры использования предоставляют более подробную информацию о том, как будет использоваться изображение."
"Add Option","Добавить опцию"
"New Option","Новый вариант"
"Option Title","Название варианта"
"Help Text","Текст помощи"
"Add Value","Добавить ценность"
Title,Название
"Option Type","Тип опции"
"-- Please select --","-- Пожалуйста, выберите.."
Required,Требуется
Price,Цена
"Price Type","Тип цены"
"Image Size","Размер изображения"
Edit,Редактировать
"Only Custom Usages are supported","Поддерживаются только пользовательские использования"
"We offer important volume <b>licensing discounts</b>.","Мы предлагаем значительные <b>скидки на лицензирование</b>."
"Have questions? Call %1 and ask for custom quote.","Есть вопросы? Позвоните по телефону %1 и запросите индивидуальное предложение."
"We will work with your budget.","Мы будем работать с вашим бюджетом."
Availability,Доступность
"In stock","В наличии"
"Out of stock","Нет в наличии"
Change,Изменить
"Compatible file extensions to upload","Совместимые расширения файлов для загрузки"
"Maximum image width","Максимальная ширина изображения"
"Maximum image height","Максимальная высота изображения"
"less info","меньше информации"
"more info","дополнительная информация"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Лицензия на изображение - это вид ""аренды"" изображения для определенного использования; в качестве примера можно привести лицензирование изображения для обложки книги, иллюстрации для статьи в журнале или использование изображения в евангелизационной листовке."
"License Image","Лицензионное изображение"
"Download - price based on use.","Загрузка - цена зависит от использования."
Close,Закрыть
"License Pricing Calculator","Калькулятор расчета стоимости лицензии"
"Select options from the drop down menu to calculate a price to use this image.","Выберите параметры из выпадающего меню, чтобы рассчитать цену за использование этого изображения."
"Choose Category","Выберите категорию"
"Choose a category to see the specific usages available.","Выберите категорию, чтобы узнать, какие именно виды использования доступны."
"Previous Usage","Предыдущее использование"
"Choose a previous calculation from your order history.","Выберите предыдущий расчет из истории заказов."
"Specific Usage","Специфическое использование"
"Choose the usage which best describes how you intend to use the image.","Выберите вариант использования, который лучше всего описывает, как вы собираетесь использовать изображение."
"Go to <a href=""%1"">My Downloadable Products</a>","Перейти к <a href=""%1"">моим загружаемым продуктам</a>"
"Incl. Tax","Включая налог"
"Total Incl. Tax","Итого, включая налог"
"Excl. Tax","Без учета налогов"
Total,Всего
"Downloadable Products","Загружаемые продукты"
"Order #","Заказ #"
Date,Дата
Status,Статус
"Remaining Downloads","Оставшиеся загрузки"
"View Order","Посмотреть заказ"
"Start Download","Начало загрузки"
"You have not purchased any downloadable products yet.","Вы еще не приобрели ни одного загружаемого продукта."
SKU,SKU
download,скачать
"Gift Message","Подарочное послание"
From:,От:
To:,Для:
Message:,Сообщение:
"Product Name","Название продукта"
Qty,Количество
Subtotal,Итого
"Discount Amount","Сумма скидки"
"Row Total","Ряд Итого"
"Qty Invoiced","Количество выставленных счетов"
Ordered,Заказано
Shipped,Отправлено
Canceled,Отменено
Refunded,Возмещено
"Add Bulk Products","Добавить товары оптом"
Calculator,Калькулятор
"DevStone Extensions","Расширения DevStone"
"Usage Calculator","Калькулятор использования"
General,"Общие сведения"
"Custom Category","Пользовательская категория"
"select the custom category","выберите пользовательскую категорию"
"This field is going to be used for Custom License","Это поле будет использоваться для пользовательской лицензии"
"Category Form","Форма категории"
"Main Information","Основная информация"
"Add New Category","Добавить новую категорию"
"Delete items","Удаление элементов"
"Are you sure you wan't to delete selected items?","Вы уверены, что не хотите удалить выбранные элементы?"
Terms,Условия
"Size Form","Форма размера"
Active,Активный
Inactive,Неактивный
"Add New Size","Добавить новый размер"
Code,Код
"Max Width","Максимальная ширина"
"Max Height","Максимальная высота"
"Usage Form","Форма использования"
"Can be free","Можно быть свободным"
No,Нет
Yes,Да
"Add future customer email","Добавить электронную почту будущего клиента"
"Add Email","Добавить электронную почту"
"Add New Usage","Добавить новое использование"
