Back,Назад
"We offer important volume <b>licensing discounts</b>.","Ми пропонуємо суттєві <b>знижки на ліцензування</b> великих обсягів."
"Have questions? Call %1 and ask for custom quote.","Маєте запитання? Телефонуйте за номером %1 і запитуйте індивідуальну пропозицію."
"We will work with your budget.","Ми будемо працювати з вашим бюджетом."
Availability,Доступність
"In stock","В наявності"
"Out of stock","Немає в наявності"
Change,Зміна
"Compatible file extensions to upload","Сумісні розширення файлів для завантаження"
"Maximum image width","Максимальна ширина зображення"
"Maximum image height","Максимальна висота зображення"
"less info","менше інформації"
"more info","більше інформації"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Ліцензійне зображення - це вид ""оренди"" зображення для конкретного використання; приклади включають ліцензування зображення для обкладинки книги, ілюстрації для журнальної статті або використання зображення в євангелізаційній листівці."
"License Image","Зображення ліцензії"
"Download - price based on use.","Завантаження - ціна залежить від використання."
Close,Закрити
"License Pricing Calculator","Калькулятор вартості ліцензії"
"Select options from the drop down menu to calculate a price to use this image.","Виберіть опції з випадаючого меню, щоб розрахувати вартість використання цього зображення."
"Choose Category","Виберіть категорію"
"Choose a category to see the specific usages available.","Виберіть категорію, щоб переглянути конкретні варіанти використання."
"Previous Usage","Попереднє використання"
"Choose a previous calculation from your order history.","Виберіть попередній розрахунок з історії замовлень."
"Specific Usage","Специфічне використання"
"Choose the usage which best describes how you intend to use the image.","Виберіть варіант використання, який найкраще описує те, як ви збираєтеся використовувати зображення."
"Go to <a href=""%1"">My Downloadable Products</a>","Перейдіть до розділу <a href=""%1"">Мої продукти для завантаження</a>"
"Incl. Tax","Вкл. податок"
"Total Incl. Tax","Всього з урахуванням податку"
"Excl. Tax","Без урахування податків"
Total,Всього
"Downloadable Products","Продукти для завантаження"
"Order #","Номер замовлення"
Date,Дата
Status,Статус
"Remaining Downloads","Решта завантажень"
"View Order","Переглянути замовлення"
"Start Download","Почати завантаження"
"You have not purchased any downloadable products yet.","Ви ще не придбали жодного продукту для завантаження."
SKU,SKU
download,завантажити
"Gift Message","Подарункове повідомлення"
From:,Звідки?
To:,До:
Message:,Повідомлення:
"Product Name","Назва продукту"
Qty,Кількість
Subtotal,"Проміжний підсумок"
"Discount Amount","Сума знижки"
"Row Total","Рядок Всього"
"Qty Invoiced","Кількість виставлених рахунків"
Ordered,Замовив
Shipped,Відправлено
Canceled,Скасовано
Refunded,Відшкодовано
"Add Bulk Products","Додати сипучі продукти"
Calculator,Калькулятор
"DevStone Extensions","Розширення DevStone"
"Usage Calculator","Калькулятор використання"
General,Генерал
"Custom Category","Користувацька категорія"
"select the custom category","виберіть користувацьку категорію"
"This field is going to be used for Custom License","Це поле буде використовуватися для індивідуальної ліцензії"
"Category Form","Форма категорії"
"Main Information","Основна інформація"
"Add New Category","Додати нову категорію"
"Delete items","Видалення елементів"
"Are you sure you wan't to delete selected items?","Ви впевнені, що не хочете видалити вибрані елементи?"
Terms,Умови
"Size Form","Розмірна форма"
Active,Активний
Inactive,Неактивний
"Add New Size","Додати новий розмір"
Code,Код
"Max Width","Максимальна ширина"
"Max Height","Максимальна висота"
"Usage Form","Форма використання"
"Can be free","Може бути безкоштовним"
No,Ні
Yes,Так
"Add future customer email","Додайте електронну пошту майбутнього клієнта"
"Add Email","Додати електронну пошту"
"Add New Usage","Додати нове використання"
