Back,Обратно
"License Pricing Calculator","Калкулатор за ценообразуване на лицензи"
"Select options from the drop down menu to calculate a price to use this image.","Изберете опции от падащото меню, за да изчислите цената за използване на това изображение."
"Choose Category","Изберете категория"
"Choose a category to see the specific usages available.","Изберете категория, за да видите конкретните налични употреби."
"Previous Usage","Предишна употреба"
"Choose a previous calculation from your order history.","Изберете предишно изчисление от историята на поръчките си."
"Specific Usage","Специфична употреба"
"Choose the usage which best describes how you intend to use the image.","Изберете употребата, която най-добре описва начина, по който възнамерявате да използвате изображението."
"Go to <a href=""%1"">My Downloadable Products</a>","Отидете на <a href=""%1"">Моите продукти за изтегляне</a>"
"Incl. Tax","С включен данък"
"Total Incl. Tax","Общо с включени данъци"
"Excl. Tax","Без данък"
Total,Общо
"Downloadable Products","Продукти за изтегляне"
"Order #","Поръчка №"
Date,Дата
Status,Статус
"Remaining Downloads","Оставащи изтегляния"
"View Order","Преглед на поръчката"
"Start Download","Начало на изтегляне"
"You have not purchased any downloadable products yet.","Все още не сте закупили продукти за изтегляне."
SKU,SKU
download,изтегляне
"Gift Message","Съобщение за подарък"
From:,От:
To:,До:
Message:,Съобщение:
"Product Name","Име на продукта"
Qty,Количество
Subtotal,"Междинна сума"
"Discount Amount","Размер на отстъпката"
"Row Total","Ред Общо"
"Qty Invoiced","Фактурирано количество"
Ordered,Поръчано
Shipped,Изпратени
Canceled,Отменен
Refunded,"Възстановени средства"
"Add Bulk Products","Добавяне на продукти в насипно състояние"
Calculator,Калкулатор
"DevStone Extensions","DevStone разширения"
"Usage Calculator","Калкулатор за използване"
General,"Обща информация"
"Custom Category","Потребителска категория"
"select the custom category","изберете потребителската категория"
"This field is going to be used for Custom License","Това поле ще се използва за потребителски лиценз"
"Category Form","Формуляр за категория"
"Main Information","Основна информация"
"Add New Category","Добавяне на нова категория"
"Delete items","Изтриване на елементи"
"Are you sure you wan't to delete selected items?","Сигурни ли сте, че не искате да изтриете избраните елементи?"
Terms,Условия
"Size Form","Размер на формуляра"
Active,Активен
Inactive,Неактивен
"Add New Size","Добавяне на нов размер"
Code,Код
"Max Width","Максимална широчина"
"Max Height","Максимална височина"
"Usage Form","Формуляр за използване"
"Can be free","Може да бъде безплатен"
No,Не
Yes,Да
"Add future customer email","Добавяне на имейл на бъдещ клиент"
"Add Email","Добавяне на имейл"
"Add New Usage","Добавяне на нова употреба"
