Back,Indietro
"Unable to attach licenses to customer %s","Impossibile collegare le licenze al cliente %s"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Non è possibile aggiungere questo articolo al carrello perché questa
                                licenza personalizzata può essere utilizzata solo %1 volta(e)"
"Max Usage","Utilizzo massimo"
"Usage Options","Opzioni di utilizzo"
Preview.,Anteprima.
"Usage options provide more details about how an image will be used.","Le opzioni di utilizzo forniscono maggiori dettagli sull'uso dell'immagine."
"Add Option","Aggiungi opzione"
"New Option","Nuova opzione"
"Option Title","Titolo dell'opzione"
"Help Text","Testo di aiuto"
"Add Value","Aggiungere valore"
Title,Titolo
"Option Type","Tipo di opzione"
"-- Please select --","-- Selezionare --"
Required,Richiesto
Price,Prezzo
"Price Type","Tipo di prezzo"
"Image Size","Dimensione dell'immagine"
Edit,Modifica
"We offer important volume <b>licensing discounts</b>.","Offriamo importanti <b>sconti sulle licenze</b> per volumi."
"Have questions? Call %1 and ask for custom quote.","Avete domande? Chiamate il %1 e chiedete un preventivo personalizzato."
"We will work with your budget.","Lavoreremo con il vostro budget."
Availability,Disponibilità
"In stock","In magazzino"
"Out of stock",Esaurito
Change,Cambiamento
"Compatible file extensions to upload","Estensioni di file compatibili da caricare"
"Maximum image width","Larghezza massima dell'immagine"
"Maximum image height","Altezza massima dell'immagine"
"less info","meno informazioni"
"more info","maggiori informazioni"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","La licenza d'immagine è un tipo di ""affitto"" di un'immagine per un uso specifico; gli esempi includono la licenza di un'immagine per la copertina di un libro, un'illustrazione per un articolo di rivista o l'uso di un'immagine in un volantino evangelistico."
"License Image","Immagine di licenza"
"Download - price based on use.","Download - prezzo in base all'utilizzo."
Close,Chiudere
"License Pricing Calculator","Calcolatore dei prezzi delle licenze"
"Select options from the drop down menu to calculate a price to use this image.","Selezionare le opzioni dal menu a discesa per calcolare il prezzo di utilizzo di questa immagine."
"Choose Category","Scegliere la categoria"
"Choose a category to see the specific usages available.","Scegliete una categoria per vedere gli usi specifici disponibili."
"Previous Usage","Uso precedente"
"Choose a previous calculation from your order history.","Scegliere un calcolo precedente dalla cronologia degli ordini."
"Specific Usage","Uso specifico"
"Choose the usage which best describes how you intend to use the image.","Scegliete l'uso che meglio descrive il modo in cui intendete utilizzare l'immagine."
"Go to <a href=""%1"">My Downloadable Products</a>","Vai ai <a href=""%1"">miei prodotti scaricabili</a>"
"Incl. Tax","Tasse incluse"
"Total Incl. Tax","Totale tasse escluse"
"Excl. Tax","Escluse le tasse"
Total,Totale
"Downloadable Products","Prodotti scaricabili"
"Order #","Ordine #"
Date,Data
Status,Stato
"Remaining Downloads","Download rimanenti"
"View Order","Visualizza l'ordine"
"Start Download","Avviare il download"
"You have not purchased any downloadable products yet.","Non hai ancora acquistato alcun prodotto scaricabile."
SKU,SKU
download,scaricare
"Gift Message","Messaggio regalo"
From:,Da:
To:,A:
Message:,Messaggio:
"Product Name","Nome del prodotto"
Qty,Quantità
Subtotal,Subtotale
"Discount Amount","Importo dello sconto"
"Row Total","Fila Totale"
"Qty Invoiced","Quantità fatturate"
Ordered,Ordinato
Shipped,Spedito
Canceled,Annullato
Refunded,Rimborsato
Calculator,Calcolatrice
"DevStone Extensions","Estensioni DevStone"
"Usage Calculator","Calcolatore d'uso"
General,Generale
"Custom Category","Categoria personalizzata"
"select the custom category","selezionare la categoria personalizzata"
"This field is going to be used for Custom License","Questo campo verrà utilizzato per la licenza personalizzata"
"Category Form","Categoria Forma"
"Main Information","Informazioni principali"
"Add New Category","Aggiungi una nuova categoria"
"Delete items","Eliminare gli elementi"
"Are you sure you wan't to delete selected items?","Siete sicuri di non voler eliminare gli elementi selezionati?"
Terms,Termini
"Size Form","Dimensione Forma"
Active,Attivo
Inactive,Inattivo
"Add New Size","Aggiungi una nuova dimensione"
Code,Codice
"Max Width","Larghezza massima"
"Max Height","Altezza massima"
"Usage Form","Modulo d'uso"
"Can be free","Può essere libero"
No,No
Yes,Sì
"Add future customer email","Aggiungere l'e-mail del cliente futuro"
"Add Email","Aggiungi e-mail"
"Add New Usage","Aggiungi un nuovo utilizzo"
