Back,גב
"License Pricing Calculator","מחשבון תמחור רישיונות"
"Select options from the drop down menu to calculate a price to use this image.","בחר אפשרויות מהתפריט הנפתח כדי לחשב מחיר לשימוש בתמונה זו."
"Choose Category","בחר קטגוריה"
"Choose a category to see the specific usages available.","בחר קטגוריה כדי לראות את השימושים הספציפיים הזמינים."
"Previous Usage","שימוש קודם"
"Choose a previous calculation from your order history.","בחר חישוב קודם מהיסטוריית ההזמנות שלך."
"Specific Usage","שימוש ספציפי"
"Choose the usage which best describes how you intend to use the image.","בחר את השימוש המתאר בצורה הטובה ביותר את האופן שבו בכוונתך להשתמש בתמונה."
"Go to <a href=""%1"">My Downloadable Products</a>","עבור אל <a href=""%1"">המוצרים להורדה שלי</a>"
"Incl. Tax","כולל מס"
"Total Incl. Tax","סה""כ כולל מס"
"Excl. Tax","ללא מס"
Total,סך
"Downloadable Products","מוצרים להורדה"
"Order #","הזמנה #"
Date,תמר
Status,מצב
"Remaining Downloads","הורדות שנותרו"
"View Order","הצג הזמנה"
"Start Download","התחל להוריד"
"You have not purchased any downloadable products yet.","עדיין לא רכשת מוצרים להורדה."
SKU,"מק""ט:"
download,הורדה
"Gift Message","הודעת מתנה"
From:,מ:
To:,ל:
Message:,הודעה:
"Product Name","שם המוצר"
Qty,כמות
Subtotal,"סכום ביניים"
"Discount Amount","סכום הנחה"
"Row Total","סה""כ שורה"
"Qty Invoiced","חשבונית כמות"
Ordered,הורה
Shipped,נשלח
Canceled,בוטלה
Refunded,הוחזר
"Add Bulk Products","הוספת מוצרים בתפזורת"
Calculator,מחשבון
"DevStone Extensions","הרחבות DevStone"
"Usage Calculator","מחשבון שימוש"
General,כללי
"Custom Category","קטגוריה מותאמת אישית"
"select the custom category","בחר את הקטגוריה מותאם אישית"
"This field is going to be used for Custom License","שדה זה ישמש עבור רישיון מותאם אישית"
"Category Form","טופס קטגוריה"
"Main Information","מידע עיקרי"
"Add New Category","הוסף קטגוריה חדשה"
"Delete items","מחיקת פריטים"
"Are you sure you wan't to delete selected items?","האם אתה בטוח שלא תרצה למחוק פריטים נבחרים?"
Terms,תנאי
"Size Form","טופס גודל"
Active,פעיל
Inactive,"אינו פעיל"
"Add New Size","הוספת גודל חדש"
Code,קוד
"Max Width","רוחב מקסימלי"
"Max Height","גובה מקסימלי"
"Usage Form","טופס שימוש"
"Can be free","יכול להיות בחינם"
No,לא
Yes,כן
"Add future customer email","הוספת דואר אלקטרוני של לקוחות עתידיים"
"Add Email","הוסף דוא""ל"
"Add New Usage","הוספת שימוש חדש"
