Back,Volver
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","El archivo '%1' que has subido es mayor que los %2 megabytes permitidos por nuestro servidor."
"The file '%1' is empty. Please choose another one","El archivo '%1' está vacío. Por favor, elija otro"
"The file '%1' is invalid. Please choose another one","El archivo '%1' no es válido. Por favor, elija otro"
"File '%1' is not an image.","El fichero '%1' no es una imagen."
"Validation failed. Required options were not filled or the file was not uploaded.","Error de validación. No se han rellenado las opciones requeridas o no se ha cargado el archivo."
"The file you uploaded is larger than %1 Megabytes allowed by server","El archivo que ha cargado supera los %1 Megabytes permitidos por el servidor"
"Option required.","Opción requerida."
"The file is empty. Please choose another one","El archivo está vacío. Por favor, elija otro"
"Some of the selected item options are not currently available.","Algunas de las opciones de artículos seleccionados no están disponibles actualmente."
"Could not save the usageCustomer: %1","No se ha podido guardar el usoCliente: %1"
"UsageCustomer with id ""%1"" does not exist.","UsageEl cliente con id ""%1"" no existe."
"Could not delete the UsageCustomer: %1","No se ha podido eliminar el cliente de uso: %1"
"Could not save the usage: %1","No se ha podido guardar el uso: %1"
"Usage with id ""%1"" does not exist.","El uso con id ""%1"" no existe."
"Could not delete the Usage: %1","No se ha podido borrar la Utilización: %1"
"Unable to attach licenses to customer %s","No se pueden adjuntar licencias al cliente %s"
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","No puede añadir este artículo a su cesta porque esta
                                licencia personalizada sólo puede utilizarse %1 vez(s)"
"Max Usage","Uso máximo"
"Usage Options","Opciones de uso"
Preview.,"Vista previa."
"Usage options provide more details about how an image will be used.","Las opciones de uso proporcionan más detalles sobre cómo se utilizará una imagen."
"Add Option","Añadir opción"
"New Option","Nueva opción"
"Option Title","Opción Título"
"Help Text","Texto de ayuda"
"Add Value","Añadir valor"
Title,Título
"Option Type","Tipo de opción"
"-- Please select --","-- Por favor, seleccione --"
Required,Requerido
Price,Precio
"Price Type","Tipo de precio"
"Image Size","Tamaño de la imagen"
Edit,Editar
"Need volume licensing discount? Confused?","¿Necesita un descuento por volumen de licencias? ¿Está confuso?"
"Call %1 and ask for custom quote.","Llame a %1 y solicite un presupuesto personalizado."
Availability,Disponibilidad
"In stock","En stock"
"Out of stock",Agotado
Change,Cambia
"Compatible file extensions to upload","Extensiones de archivo compatibles para cargar"
"Maximum image width","Anchura máxima de la imagen"
"Maximum image height","Altura máxima de la imagen"
"less info","menos información"
"more info","más información"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","La licencia de imagen es un tipo de ""alquiler"" de una imagen para un uso específico; algunos ejemplos son la licencia de una imagen para la portada de un libro, una ilustración para un artículo de revista o el uso de una imagen en un folleto evangelístico."
"License Image","Imagen de licencia"
"Download - price based on use.","Descarga - precio en función del uso."
Close,Cerrar
"License Pricing Calculator","Calculadora de precios de licencias"
"Select options from the drop down menu to calculate a price to use this image.","Seleccione las opciones del menú desplegable para calcular el precio por utilizar esta imagen."
"Choose Category","Elegir categoría"
"Choose a category to see the specific usages available.","Elija una categoría para ver los usos específicos disponibles."
"Previous Usage","Uso anterior"
"Choose a previous calculation from your order history.","Elija un cálculo anterior de su historial de pedidos."
"Specific Usage","Uso específico"
"Choose the usage which best describes how you intend to use the image.","Elija el uso que mejor describa cómo piensa utilizar la imagen."
"Go to <a href=""%1"">My Downloadable Products</a>","Ir a <a href=""%1"">Mis productos descargables</a>"
"Incl. Tax","Impuestos incluidos"
"Total Incl. Tax","Total impuestos incluidos"
"Excl. Tax","Impuestos no incluidos"
Total,Total
"Downloadable Products","Productos descargables"
"Order #","Número de pedido"
Date,Fecha
Status,Estado
"Remaining Downloads","Descargas pendientes"
"View Order","Ver pedido"
"Start Download","Iniciar descarga"
"You have not purchased any downloadable products yet.","Aún no ha adquirido ningún producto descargable."
SKU,SKU
download,descargar
"Gift Message","Mensaje de regalo"
From:,De:
To:,Para:
Message:,Mensaje:
"Product Name","Nombre del producto"
Qty,Cantidad
Subtotal,Subtotal
"Discount Amount","Importe del descuento"
"Row Total","Fila Total"
"Qty Invoiced","Cantidad facturada"
Ordered,Encargado
Shipped,Enviado
Canceled,Cancelado
Refunded,Reembolsado
Calculator,Calculadora
"DevStone Extensions","Extensiones DevStone"
"Usage Calculator","Calculadora de uso"
General,General
"Custom Category","Categoría personalizada"
"select the custom category","seleccione la categoría personalizada"
"This field is going to be used for Custom License","Este campo se utilizará para la licencia personalizada"
"Category Form",Categoría
"Main Information","Información principal"
"Add New Category","Añadir nueva categoría"
"Delete items","Eliminar elementos"
"Are you sure you wan't to delete selected items?","¿Estás seguro de que no quieres borrar los elementos seleccionados?"
Terms,Términos
"Size Form","Forma de tamaño"
Active,Activo
Inactive,Inactivo
"Add New Size","Añadir nueva talla"
Code,Código
"Max Width","Anchura máxima"
"Max Height","Altura máxima"
"Usage Form","Formulario de uso"
"Can be free","Puede ser libre"
No,No
Yes,Sí
"Add future customer email","Añadir correo electrónico de futuros clientes"
"Add Email","Añadir correo electrónico"
"Add New Usage","Añadir nuevo uso"
