Back,Takaisin
"We offer important volume <b>licensing discounts</b>.","Tarjoamme merkittäviä <b>volyymilisensointialennuksia</b>."
"Have questions? Call %1 and ask for custom quote.","Onko kysyttävää? Soita %1 ja pyydä tarjous."
"We will work with your budget.","Työskentelemme budjettisi mukaan."
Availability,Saatavuus
"In stock",Varastossa
"Out of stock","Ei varastossa"
Change,Muuta
"Compatible file extensions to upload","Yhteensopivat tiedostopäätteet ladattavaksi"
"Maximum image width","Kuvan enimmäisleveys"
"Maximum image height","Kuvan enimmäiskorkeus"
"less info","vähemmän tietoa"
"more info",lisätietoja
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Lisenssikuva on eräänlainen kuvan ""vuokraaminen"" tiettyä käyttötarkoitusta varten; esimerkkeinä voidaan mainita kuvan lisensointi kirjan kanteen, kuvitus lehtiartikkeliin tai kuvan käyttö evankelioimiseen tarkoitetussa esitteessä."
"License Image",Lisenssikuva
"Download - price based on use.","Lataa - hinta perustuu käyttöön."
Close,Sulje
"License Pricing Calculator","Lisenssin hinnoittelulaskuri"
"Select options from the drop down menu to calculate a price to use this image.","Valitse vaihtoehdot pudotusvalikosta laskeaksesi hinnan tämän kuvan käytöstä."
"Choose Category","Valitse luokka"
"Choose a category to see the specific usages available.","Valitse luokka nähdäksesi käytettävissä olevat erityiskäytöt."
"Previous Usage","Edellinen käyttö"
"Choose a previous calculation from your order history.","Valitse edellinen laskelma tilaushistoriastasi."
"Specific Usage","Erityinen käyttö"
"Choose the usage which best describes how you intend to use the image.","Valitse käyttötapa, joka kuvaa parhaiten sitä, miten aiot käyttää kuvaa."
"Go to <a href=""%1"">My Downloadable Products</a>","Siirry <a href=""%1"">ladattaviin tuotteisiini</a>"
"Incl. Tax","Sis. vero"
"Total Incl. Tax","Yhteensä veroineen"
"Excl. Tax","Ilman veroja"
Total,Yhteensä
"Downloadable Products","Ladattavat tuotteet"
"Order #","Tilaa #"
Date,Päivämäärä
Status,Tila
"Remaining Downloads","Jäljellä olevat lataukset"
"View Order","Näytä tilaus"
"Start Download","Aloita lataaminen"
"You have not purchased any downloadable products yet.","Et ole vielä ostanut ladattavia tuotteita."
SKU,SKU
download,lataa
"Gift Message",Lahjaviesti
From:,From:
To:,To:
Message:,Viesti:
"Product Name","Tuotteen nimi"
Qty,Määrä
Subtotal,Yhteensä
"Discount Amount","Alennuksen määrä"
"Row Total","Rivi Yhteensä"
"Qty Invoiced","Laskutettu määrä"
Ordered,Tilattu
Shipped,Lähetetty
Canceled,Peruutettu
Refunded,Palautettu
"Add Bulk Products","Lisää irtotuotteita"
Calculator,Laskin
"DevStone Extensions",DevStone-laajennukset
"Usage Calculator",Käyttölaskuri
General,Yleistä
"Custom Category","Mukautettu luokka"
"select the custom category","valitse mukautettu luokka"
"This field is going to be used for Custom License","Tätä kenttää käytetään mukautettua lisenssiä varten"
"Category Form","Luokka Lomake"
"Main Information","Tärkeimmät tiedot"
"Add New Category","Lisää uusi luokka"
"Delete items","Poista kohteita"
"Are you sure you wan't to delete selected items?","Oletko varma, ettet halua poistaa valittuja kohteita?"
Terms,Ehdot
"Size Form","Koko Lomake"
Active,Aktiivinen
Inactive,Inaktiivinen
"Add New Size","Lisää uusi koko"
Code,Koodi
"Max Width","Max leveys"
"Max Height","Max korkeus"
"Usage Form",Käyttölomake
"Can be free","Voi olla vapaa"
No,Ei
Yes,Kyllä
"Add future customer email","Lisää tulevan asiakkaan sähköpostiosoite"
"Add Email","Lisää sähköpostiosoite"
"Add New Usage","Lisää uusi käyttö"
