Back,Voltar
"You cannot add this item to your cart because this
                                custom license can only be used %1 time(s)","Não é possível adicionar esse item ao carrinho porque essa
                                licença personalizada só pode ser usada %1 vez(es)"
"Max Usage","Uso máximo"
"Usage Options","Opções de uso"
Preview.,Prévia.
"Usage options provide more details about how an image will be used.","As opções de uso fornecem mais detalhes sobre como uma imagem será usada."
"Add Option","Adicionar opção"
"New Option","Nova opção"
"Option Title","Título da opção"
"Help Text","Texto de ajuda"
"Add Value","Agregar valor"
Title,Título
"Option Type","Tipo de opção"
"-- Please select --","-- Selecione --"
Required,Necessário
Price,Preço
"Price Type","Tipo de preço"
"Image Size","Tamanho da imagem"
Edit,Editar
"We offer important volume <b>licensing discounts</b>.","Oferecemos <b>descontos</b> importantes no <b>licenciamento por</b> volume."
"Have questions? Call %1 and ask for custom quote.","Tem dúvidas? Entre em contato com %1 e solicite uma cotação personalizada."
"We will work with your budget.","Trabalharemos com seu orçamento."
Availability,Disponibilidade
"In stock","Em estoque"
"Out of stock","Fora de estoque"
Change,Mudança
"Compatible file extensions to upload","Extensões de arquivo compatíveis para upload"
"Maximum image width","Largura máxima da imagem"
"Maximum image height","Altura máxima da imagem"
"less info","menos informações"
"more info","mais informações"
"License Image is a type of “renting” of an image for a specific use; examples include licensing an image for the cover of a book, an illustration for a magazine article, or use of an image in an evangelistic handbill.","Licença de imagem é um tipo de ""aluguel"" de uma imagem para um uso específico; exemplos incluem o licenciamento de uma imagem para a capa de um livro, uma ilustração para um artigo de revista ou o uso de uma imagem em um folheto evangelístico."
"License Image","Imagem da licença"
"Download - price based on use.","Download - preço baseado no uso."
Close,Fechar
"License Pricing Calculator","Calculadora de preços de licenças"
"Select options from the drop down menu to calculate a price to use this image.","Selecione as opções no menu suspenso para calcular um preço para usar essa imagem."
"Choose Category","Escolha a categoria"
"Choose a category to see the specific usages available.","Escolha uma categoria para ver os usos específicos disponíveis."
"Previous Usage","Uso anterior"
"Choose a previous calculation from your order history.","Selecione um cálculo anterior em seu histórico de pedidos."
"Specific Usage","Uso específico"
"Choose the usage which best describes how you intend to use the image.","Escolha o uso que melhor descreve como você pretende usar a imagem."
"Go to <a href=""%1"">My Downloadable Products</a>","Ir para <a href=""%1"">Meus produtos para download</a>"
"Incl. Tax","Incluindo impostos"
"Total Incl. Tax","Total incluindo impostos"
"Excl. Tax","Excluindo impostos"
Total,Total
"Downloadable Products","Produtos para download"
"Order #",Pedido
Date,Data
Status,Status
"Remaining Downloads","Downloads restantes"
"View Order","Ver pedido"
"Start Download","Iniciar o download"
"You have not purchased any downloadable products yet.","Você ainda não comprou nenhum produto para download."
SKU,SKU
download,download
"Gift Message","Mensagem de presente"
From:,De:
To:,Para:
Message:,Mensagem:
"Product Name","Nome do produto"
Qty,Quantidade
Subtotal,Subtotal
"Discount Amount","Valor do desconto"
"Row Total","Linha Total"
"Qty Invoiced","Qtd. faturada"
Ordered,Pedido
Shipped,Enviado
Canceled,Cancelado
Refunded,Reembolsado
Calculator,Calculadora
"DevStone Extensions","Extensões DevStone"
"Usage Calculator","Calculadora de uso"
General,Geral
"Custom Category","Categoria personalizada"
"select the custom category","selecione a categoria personalizada"
"This field is going to be used for Custom License","Esse campo será usado para a licença personalizada"
"Category Form","Formulário de categoria"
"Main Information","Informações principais"
"Add New Category","Adicionar nova categoria"
"Delete items","Excluir itens"
"Are you sure you wan't to delete selected items?","Tem certeza de que não deseja excluir os itens selecionados?"
Terms,Termos
"Size Form","Formulário de tamanho"
Active,Ativo
Inactive,Inativo
"Add New Size","Adicionar novo tamanho"
Code,Código
"Max Width","Largura máxima"
"Max Height","Altura máxima"
"Usage Form","Formulário de uso"
"Can be free","Pode ser gratuito"
No,Não
Yes,Sim
"Add future customer email","Adicionar e-mail de cliente futuro"
"Add Email","Adicionar e-mail"
"Add New Usage","Adicionar novo uso"
