Back,Mbrapa
"Are you sure you wan't to delete selected items?","Je i sigurt që nuk do të fshish artikujt e zgjedhur?"
Terms,Termat
"Size Form","Forma e madhësisë"
Active,Aktiv
Inactive,Joaktiv
"Add New Size","Shto madhësinë e re"
Code,Kodi
"Max Width","Gjerësia maksimale"
"Max Height","Lartësia maksimale"
"Usage Form","Forma e përdorimit"
"Can be free","Mund të jetë i lirë"
No,Jo
Yes,Po
"Add future customer email","Shto emailin e ardhshëm të klientit"
"Add Email","Shto Email"
"Add New Usage","Shto përdorimin e ri"
